阿德里奥 a'de'li'ao
铁蒺藜 tie'ji'li
铁剑 tie'jian
铁匠室 tie'jiang'shi
铁面扇 tie'mian'shan
铁扇公主 tie'shan'gong'zhu
铁手隐机枢 tie'shou'yin'ji'shu
铁血豪情 tie'xue'hao'qing
铁爪 tie'zhua
停陷术 ting'xian'shu
庭院耐久值 ting'yuan'nai'jiu'zhi
庭院装饰 ting'yuan'zhuang'shi
停滞术 ting'zhi'shu
铜宝箱 tong'bao'xiang
同甘共苦 tong'gan'gong'ku
铜角桌 tong'jiao'zhuo
铜镜 tong'jing
通经活脉 tong'jing'huo'mai
铜铃 tong'ling
通灵宝玉 tong'ling'bao'yu
同盟帮派 tong'meng'bang'pai
铜墙铁壁 tong'qiang'tie'bi
同心肉脯 tong'xin'rou'pu
同心锁 tong'xin'suo
通幽 tong'you
头部 tou'bu
头骨兜帽 tou'gu'dou'mao
头盔 tou'kui
头盔店 tou'kui'dian
投票 tou'piao
偷尸鬼 tou'shi'gui
偷桃帮凶 tou'tao'bang'xiong
偷偷怪 tou'tou'guai
偷袭 tou'xi
偷袭诀 tou'xi'jue
投掷匕首 tou'zhi'bi'shou
投掷沙包 tou'zhi'sha'bao
土地公公 tu'di'gong'gong
土地公公符 tu'di'gong'gong'fu
土地管理费 tu'di'guan'li'fei
土地契约 tu'di'qi'yue
兔儿爷 tu'er'ye
突发事件 tu'fa'shi'jian
吐蕃 tu'fan
兔祭司 tu'ji'si
突厥奸细 tu'jue'jian'xi
图库 tu'ku
屠龙 tu'long
土人参果 tu'ren'shen'guo
土属性机关人 tu'shu'xing'ji'guan'ren
土属性吸收 tu'shu'xing'xi'shou
兔天使 tu'tian'shi
突袭计谋书 tu'xi'ji'mou'shu
兔勇士 tu'yong'shi
兔战士 tu'zhan'shi
图纸 tu'zhi
图纸名称 tu'zhi'ming'cheng
土中仙 tu'zhong'xian
兔子怪 tu'zi'guai
兔子怪宝宝 tu'zi'guai'bao'bao
兔子怪卡片 tu'zi'guai'ka'pian
兔子怪喽罗 tu'zi'guai'lou'luo
兔子卡 tu'zi'ka
兔子星人 tu'zi'xing'ren
兔族使者 tu'zu'shi'zhe
团队和约担保人 tuan'dui'he'yue'dan'bao'ren
团队契约 tuan'dui'qi'yue
团队治疗 tuan'dui'zhi'liao
推背图 tui'bei'tu
退出游戏 tui'chu'you'xi
推广登记员 tui'guang'deng'ji'yuan
推荐系统 tui'jian'xi'tong
推拿 tui'na
推气过宫 tui'qi'guo'gong
推血 tui'xue
驼背大鼋 tuo'bei'da'yuan
拖动至快捷框 tuo'dong'zhi'kuai'jie'kuang
托管过继 tuo'guan'guo'ji
脱离 tuo'li
脱离帮派 tuo'li'bang'pai
脱离本堂 tuo'li'ben'tang
拖泥带水 tuo'ni'dai'shui
脱胎换骨 tuo'tai'huan'gu
挖宝封妖 wa'bao'feng'yao
瓦岗军 wa'gang'jun
瓦岗寨 wa'gang'zhai
娃娃鱼 wa'wa'yu
瓦先锋 wa'xian'feng
外族 wai'zu
外族军旗 wai'zu'jun'qi
外族士兵 wai'zu'shi'bing
外族头目 wai'zu'tou'mu
弯弓射月 wan'gong'she'yue
万鬼幡 wan'gui'fan
玩家改名 wan'jia'gai'ming
玩家手册 wan'jia'shou'ce
玩家之家 wan'jia'zhi'jia
万里卷云 wan'li'juan'yun
万里追云履 wan'li'zhui'yun'lv
万灵诸念 wan'ling'zhu'nian
万木凋枯 wan'mu'diao'ku
万圣公主 wan'sheng'gong'zhu
万事如意居 wan'shi'ru'yi'ju
万事通 wan'shi'tong
晚唐 wan'tang
万条垂下绿丝绦 wan'tiao'chui'xia'lv'si'tao
烷烃 wan'ting
万物回春 wan'wu'hui'chun
万物轮转 wan'wu'lun'zhuan
万象笔 wan'xiang'bi
万蚁蚀象 wan'yi'shi'xiang
万有引力定律 wan'you'yin'li'ding'lv
婉约 wan'yue
婉约派 wan'yue'pai
万紫千红 wan'zi'qian'hong
万字钱庄 wan'zi'qian'zhuang
王捕头 wang'bu'tou
王大嫂 wang'da'sao
王福来 wang'fu'lai
王夫人 wang'fu'ren
王夫人任务 wang'fu'ren'ren'wu
望经楼 wang'jing'lou
魍魉 wang'liang
亡灵气箭 wang'ling'qi'jian
亡灵之刃 wang'ling'zhi'ren
王母娘娘 wang'mu'niang'niang
忘情 wang'qing
忘情罗刹 wang'qing'luo'cha
王世充鬼魂 wang'shi'chong'gui'hun
王维 wang'wei
王武 wang'wu
网易 wang'yi
网易充值一卡通 wang'yi'chong'zhi'yi'ka'tong
网易互动娱乐 wang'yi'hu'dong'yu'le
网易一卡通 wang'yi'yi'ka'tong
望岳 wang'yue
望月草 wang'yue'cao
王者归来 wang'zhe'gui'lai
渭城朝雨邑轻尘 wei'cheng'chao'yu'yi'qing'chen
渭城朝雨浥轻尘 wei'cheng'zhao'yu'yi'qing'chen
为官之道 wei'guan'zhi'dao
维护费 wei'hu'fei
维护费用 wei'hu'fei'yong
威虎校尉 wei'hu'xiao'wei
尾火虎 wei'huo'hu
魏晋风度 wei'jin'feng'du
魏晋风度救命 wei'jin'feng'du'jiu'ming
威猛将军 wei'meng'jiang'jun
为民除害 wei'min'chu'hai
围棋助手 wei'qi'zhu'shou
为人师表 wei'ren'shi'biao
威慑 wei'she
胃土彘 wei'tu'zhi
韦陀护法 wei'tuo'hu'fa
唯我独尊 wei'wo'du'zun
威武不屈 wei'wu'bu'qu
魏武青虹 wei'wu'qing'hong
危险洞穴 wei'xian'dong'xue
喂养宠物 wei'yang'chong'wu
危月燕 wei'yue'yan
威震三界 wei'zhen'san'jie
威震天 wei'zhen'tian
魏征 wei'zheng
魏征的书信 wei'zheng'de'shu'xin
魏征徵 wei'zheng'zheng
位置坐标 wei'zhi'zuo'biao
伪装 wei'zhuang
伪装鬼 wei'zhuang'gui
温饱 wen'bao
温度计 wen'du'ji
文景之治 wen'jing'zhi'zhi
文老伯 wen'lao'bo
文明度 wen'ming'du
文明时代 wen'ming'shi'dai
瘟神 wen'shen
文韬武略 wen'tao'wu'lue
纹铁剑 wen'tie'jian
稳心固念 wen'xin'gu'nian
文秀 wen'xiu
文竹 wen'zhu
文状元 wen'zhuang'yuan
蚊子 wen'zi
文字格式 wen'zi'ge'shi
我爱你 wo'ai'ni
我帮 wo'bang
我不动 wo'bu'dong
我猜 wo'cai
我佛慈悲 wo'fo'ci'bei
握雷局 wo'lei'ju
卧龙 wo'long
卧室仓库 wo'shi'cang'ku
五宝 wu'bao
五步符 wu'bu'fu
五彩缎带 wu'cai'duan'dai
五彩裙 wu'cai'qun
五彩娃娃 wu'cai'wa'wa
无常步 wu'chang'bu
无常令 wu'chang'ling
无常咒 wu'chang'zhou
无尘扇 wu'chen'shan
舞蹈券 wu'dao'quan
吴道子 wu'dao'zi
武德星君 wu'de'xing'jun
无敌 wu'di
无底洞 wu'di'dong
无敌牛虱 wu'di'niu'shi
无敌牛妖 wu'di'niu'yao
五丁开山 wu'ding'kai'shan
巫毒降 wu'du'jiang
无法维护 wu'fa'wei'hu
五福童子 wu'fu'tong'zi
吴刚 wu'gang
五谷轮回桶 wu'gu'lun'hui'tong
五虎断魂 wu'hu'duan'hun
无魂傀儡 wu'hun'kui'lei
五火神焰印 wu'huo'shen'yan'yin
五级帮 wu'ji'bang
无级别 wu'ji'bie
无级别限制 wu'ji'bie'xian'zhi
乌鸡副本 wu'ji'fu'ben
乌鸡国 wu'ji'guo
乌鸡国王 wu'ji'guo'wang
无极丝 wu'ji'si
无家别 wu'jia'bie
物价指数 wu'jia'zhi'shu
五件套 wu'jian'tao
乌金丹 wu'jin'dan
乌金鬼头镰 wu'jin'gui'tou'lian
乌金三叉戟 wu'jin'san'cha'ji
武举 wu'ju
吴举人 wu'ju'ren
巫奎虎 wu'kui'hu
吴老爹 wu'lao'die
五雷轰顶 wu'lei'hong'ding
五雷照法 wu'lei'zhao'fa
五雷咒 wu'lei'zhou
物理 wu'li
武林高手 wu'lin'gao'shou
五柳先生 wu'liu'xian'sheng
五龙 wu'long
乌龙鞭 wu'long'bian
五龙丹 wu'long'dan
巫蛮儿 wu'man'er
五门派 wu'men'pai
无名鬼城 wu'ming'gui'cheng
无名野鬼 wu'ming'ye'gui
物品店 wu'pin'dian
五品定远将军 wu'pin'ding'yuan'jiang'jun
物品概述 wu'pin'gai'shu
五品怀化郎将 wu'pin'huai'hua'lang'jiang
物品类 wu'pin'lei
五品宁远将军 wu'pin'ning'yuan'jiang'jun
五品骑都尉 wu'pin'qi'du'wei
物品商店 wu'pin'shang'dian
物品锁 wu'pin'suo
五品游击将军 wu'pin'you'ji'jiang'jun
五品游骑将军 wu'pin'you'qi'jiang'jun
物品综合 wu'pin'zong'he
武器 wu'qi
武器店 wu'qi'dian
武器店老板 wu'qi'dian'lao'ban
武器店掌柜 wu'qi'dian'zhang'gui
武器点掌柜 wu'qi'dian'zhang'gui
无穷妙道 wu'qiong'miao'dao
五色缎带 wu'se'duan'dai
五色飞石 wu'se'fei'shi
五色旗盒 wu'se'qi'he
雾杀 wu'sha
无上金仙 wu'shang'jin'xian
武神显圣 wu'shen'xian'sheng
巫师技能 wu'shi'ji'neng
巫术招式 wu'shu'zhao'shi
无双一击 wu'shuang'yi'ji
乌太尉 wu'tai'wei
舞天姬 wu'tian'ji
舞厅接引人 wu'ting'jie'yin'ren
舞厅系统 wu'ting'xi'tong
五味露 wu'wei'lu
吴文彩 wu'wen'cai
无限晶清 wu'xian'jing'qing
无心 wu'xin
五行 wu'xing
五行宝玉 wu'xing'bao'yu
五行不宁 wu'xing'bu'ning
五行错位 wu'xing'cuo'wei
五行大师 wu'xing'da'shi
五行法阵 wu'xing'fa'zhen
五行扭转 wu'xing'niu'zhuan
五行兽 wu'xing'shou
五行修业 wu'xing'xiu'ye
五行学说 wu'xing'xue'shuo
五行阵传送人 wu'xing'zhen'chuan'song'ren
武学研究所 wu'xue'yan'jiu'suo
五言 wu'yan
五言绝句 wu'yan'jue'ju
无烟煤 wu'yan'mei
五一活动 wu'yi'huo'dong
无影神针 wu'ying'shen'zhen
吴越剑 wu'yue'jian
五岳山探宝 wu'yue'shan'tan'bao
武则天 wu'ze'tian
舞者 wu'zhe
舞者技能 wu'zhe'ji'neng
舞者披风 wu'zhe'pi'feng
无知头盔 wu'zhi'tou'kui
无中生有 wu'zhong'sheng'you
雾中仙 wu'zhong'xian
雾中仙宝宝 wu'zhong'xian'bao'bao
雾中仙卡 wu'zhong'xian'ka
雾中仙卡片 wu'zhong'xian'ka'pian
雾中仙喽罗 wu'zhong'xian'lou'luo
巫咒 wu'zhou
无助的孩子 wu'zhu'de'hai'zi
五庄 wu'zhuang
五庄观 wu'zhuang'guan
五庄观护法 wu'zhuang'guan'hu'fa
五庄观首席弟子 wu'zhuang'guan'shou'xi'di'zi
五庄护法 wu'zhuang'hu'fa
五庄首席弟子 wu'zhuang'shou'xi'di'zi
武状元 wu'zhuang'yuan
无字经 wu'zi'jing
五子棋 wu'zi'qi
西安 xi'an
戏班老板 xi'ban'lao'ban
细胞核 xi'bao'he
悉达多 xi'da'duo
吸附石 xi'fu'shi
西汉 xi'han
惜花 xi'hua
喜轿班头 xi'jiao'ban'tou
犀角杯 xi'jiao'bei
喜轿游长安 xi'jiao'you'chang'an
西凉女国 xi'liang'nv'guo
西梁女国 xi'liang'nv'guo
细磨豆沙元宵 xi'mo'dou'sha'yuan'xiao
细木棒 xi'mu'bang
西牛贺州 xi'niu'he'zhou
西牛贺洲 xi'niu'he'zhou
西牛贺洲山 xi'niu'he'zhou'shan
西牛贺州土地 xi'niu'he'zhou'tu'di
西牛贺洲外 xi'niu'he'zhou'wai
喜鹊翎毛 xi'que'ling'mao
戏水天鹅 xi'shui'tian'e
洗髓换骨 xi'sui'huan'gu
喜糖 xi'tang
喜糖礼盒 xi'tang'li'he
系统公告 xi'tong'gong'gao
系统界面 xi'tong'jie'mian
系统设置 xi'tong'she'zhi
吸血 xi'xue
吸血鬼 xi'xue'gui
吸血鬼宝宝 xi'xue'gui'bao'bao
吸血鬼卡 xi'xue'gui'ka
吸血鬼卡片 xi'xue'gui'ka'pian
吸血鬼喽罗 xi'xue'gui'lou'luo
夕阳山水图 xi'yang'shan'shui'tu
西游时讯 xi'you'shi'xun
西域番邦战旗 xi'yu'fan'bang'zhan'qi
惜玉轩 xi'yu'xuan
西周 xi'zhou
西洲曲 xi'zhou'qu
喜字屏风 xi'zi'ping'feng
虾兵 xia'bing
虾兵宝宝 xia'bing'bao'bao
虾兵卡 xia'bing'ka
虾兵卡片 xia'bing'ka'pian
虾兵喽罗 xia'bing'lou'luo
下间 xia'jian
下降 xia'jiang
虾将军 xia'jiang'jun
霞举飞升 xia'ju'fei'sheng
侠客履 xia'ke'lv
下落击 xia'luo'ji
下落斩 xia'luo'zhan
侠义值 xia'yi'zhi
鲜卑 xian'bei
仙岛引路使 xian'dao'yin'lu'shi
弦歌 xian'ge
仙狐涎 xian'hu'xian
鲜花种子 xian'hua'zhong'zi
现金 xian'jin
仙灵 xian'ling
县令 xian'ling
仙灵店铺 xian'ling'dian'pu
仙灵石 xian'ling'shi
仙流道人 xian'liu'dao'ren
仙露 xian'lu
仙人 xian'ren
现任帮主 xian'ren'bang'zhu
仙人掌 xian'ren'zhang
仙人指路 xian'ren'zhi'lu
鲜肉 xian'rou
仙山灵芝 xian'shan'ling'zhi
献身长袍 xian'shen'chang'pao
献身裤子 xian'shen'ku'zi
仙神性质 xian'shen'xing'zhi
显生宙 xian'sheng'zhou
显示模式 xian'shi'mo'shi
仙系抵抗 xian'xi'di'kang
仙系弱点 xian'xi'ruo'dian
现形符 xian'xing'fu
显学 xian'xue
仙叶 xian'ye
仙缘洞天 xian'yuan'dong'tian
仙缘染坊主 xian'yuan'ran'fang'zhu
闲云野鹤 xian'yun'ye'he
闲杂材料二 xian'za'cai'liao'er
闲杂材料三 xian'za'cai'liao'san
闲杂材料一 xian'za'cai'liao'yi
仙阵 xian'zhen
仙族使者 xian'zu'shi'zhe
相宠师 xiang'chong'shi
相对论 xiang'dui'lun
相反 xiang'fan
厢房 xiang'fang
厢房数 xiang'fang'shu
香港岛 xiang'gang'dao
香火僧 xiang'huo'seng
祥记 xiang'ji
相见时难别亦难 xiang'jian'shi'nan'bie'yi'nan
香辣菜心 xiang'la'cai'xin
项链店 xiang'lian'dian
香料作坊 xiang'liao'zuo'fang
降龙伏虎 xiang'long'fu'hu
降魔天师 xiang'mo'tian'shi
降魔玉杵 xiang'mo'yu'chu
香飘兰麝 xiang'piao'lan'she
项圈 xiang'quan
香山居士 xiang'shan'ju'shi
相生相克 xiang'sheng'xiang'ke
相思 xiang'si
象形 xiang'xing
降妖伏魔 xiang'yao'fu'mo
香叶 xiang'ye
香叶城 xiang'ye'cheng
香叶丛林 xiang'ye'cong'lin
响应帮派 xiang'ying'bang'pai
啸傲 xiao'ao
笑傲西游 xiao'ao'xi'you
小白龙 xiao'bai'long
小白兔 xiao'bai'tu
小宝 xiao'bao
小宝箱 xiao'bao'xiang
小猜猜 xiao'cai'cai
小馋猫 xiao'chan'mao
小乘佛法 xiao'cheng'fo'fa
小聪明 xiao'cong'ming
小二 xiao'er
小飞猪 xiao'fei'zhu
晓风残月 xiao'feng'can'yue
啸风诀 xiao'feng'jue
小龟快跑 xiao'gui'kuai'pao
效果 xiao'guo
效果共享 xiao'guo'gong'xiang
小号绑定 xiao'hao'bang'ding
小胡 xiao'hu
小护肩 xiao'hu'jian
小花 xiao'hua
小还丹 xiao'huan'dan
小黄鱼 xiao'huang'yu
小家碧玉 xiao'jia'bi'yu
小键盘 xiao'jian'pan
小客栈 xiao'ke'zhan
小雷音寺 xiao'lei'yin'si
笑里 xiao'li
笑里藏刀 xiao'li'cang'dao
小怜香 xiao'lian'xiang
小龙女 xiao'long'nv
小龙女宝宝 xiao'long'nv'bao'bao
小龙女卡片 xiao'long'nv'ka'pian
小龙女喽罗 xiao'long'nv'lou'luo
小猫女 xiao'mao'nv
小魔头 xiao'mo'tou
小囝囝 xiao'nan'nan
小棚屋酒吧 xiao'peng'wu'jiu'ba
小巧 xiao'qiao
小山猪 xiao'shan'zhu
小时 xiao'shi
小石块 xiao'shi'kuai
小桃红 xiao'tao'hong
小兔子 xiao'tu'zi
小顽童 xiao'wan'tong
笑忘术 xiao'wang'shu
小西天 xiao'xi'tian
小惜玉 xiao'xi'yu
小弦切切如私语 xiao'xian'qie'qie'ru'si'yu
潇湘 xiao'xiang
小香炉 xiao'xiang'lu
潇湘仙雨 xiao'xiang'xian'yu
潇湘隐士 xiao'xiang'yin'shi
小小虎 xiao'xiao'hu
小熊怪 xiao'xiong'guai
小玄切切如私语 xiao'xuan'qie'qie'ru'si'yu
逍遥公主 xiao'yao'gong'zhu
逍遥江湖 xiao'yao'jiang'hu
逍遥镜 xiao'yao'jing
逍遥罗汉 xiao'yao'luo'han
逍遥生 xiao'yao'sheng
孝以齐家 xiao'yi'qi'jia
小勇士 xiao'yong'shi
小雨 xiao'yu
小鱼 xiao'yu
小芸芸 xiao'yun'yun
小镇后街 xiao'zhen'hou'jie
小篆 xiao'zhuan
小紫 xiao'zi
携带等级 xie'dai'deng'ji
携带数量 xie'dai'shu'liang
携带要求 xie'dai'yao'qiu
携带召唤兽 xie'dai'zhao'huan'shou
蟹将 xie'jiang
蟹将宝宝 xie'jiang'bao'bao
蟹将军 xie'jiang'jun
蟹将卡 xie'jiang'ka
蟹将卡片 xie'jiang'ka'pian
蟹将喽罗 xie'jiang'lou'luo
邪魔太岁 xie'mo'tai'sui
协议离婚 xie'yi'li'hun
斜月步 xie'yue'bu
斜月佳人 xie'yue'jia'ren
斜月狼牙 xie'yue'lang'ya
斜月三星洞 xie'yue'san'xing'dong
鞋子 xie'zi
鞋子点 xie'zi'dian
新安吏 xin'an'li
新表情动画 xin'biao'qing'dong'hua
新春会场 xin'chun'hui'chang
新春气象 xin'chun'qi'xiang
心得书 xin'de'shu
心法初成 xin'fa'chu'cheng
辛发明 xin'fa'ming
心火 xin'huo
信赖披风 xin'lai'pi'feng
心疗 xin'liao
心疗术 xin'liao'shu
心领神会 xin'ling'shen'hui
心魔剑 xin'mo'jian
新朋老友 xin'peng'lao'you
心如明镜 xin'ru'ming'jing
心神合一 xin'shen'he'yi
新手 xin'shou
新手返点 xin'shou'fan'dian
新手任务 xin'shou'ren'wu
新唐书 xin'tang'shu
信天翁头盔 xin'tian'weng'tou'kui
信徒 xin'tu
信息切换 xin'xi'qie'huan
新鲜玩意 xin'xian'wan'yi
信仰类技能 xin'yang'lei'ji'neng
心月狐 xin'yue'hu
新月平原 xin'yue'ping'yuan
心资料片 xin'zi'liao'pian
星辰精灵 xing'chen'jing'ling
星辰碎片 xing'chen'sui'pian
行动力 xing'dong'li
行宫 xing'gong
星虹刺 xing'hong'ci
星灵 xing'ling
星灵卡 xing'ling'ka
星灵仙子 xing'ling'xian'zi
星灵仙子宝宝 xing'ling'xian'zi'bao'bao
星灵仙子卡片 xing'ling'xian'zi'ka'pian
星灵仙子喽罗 xing'ling'xian'zi'lou'luo
行囊 xing'nang
星日马 xing'ri'ma
星霜城 xing'shuang'cheng
刑天之逆 xing'tian'zhi'ni
星月之惠 xing'yue'zhi'hui
幸运 xing'yun
星陨刀 xing'yun'dao
幸运使者 xing'yun'shi'zhe
幸运小兔 xing'yun'xiao'tu
幸运转盘 xing'yun'zhuan'pan
幸运转转符 xing'yun'zhuan'zhuan'fu
凶残倭寇 xiong'can'wo'kou
熊胆 xiong'dan
雄黄酒 xiong'huang'jiu
熊猫 xiong'mao
修改帮派宗旨 xiu'gai'bang'pai'zong'zhi
修改贡献度兑换警戒线 xiu'gai'gong'xian'du'dui'huan'jing'jie'xian
修改贡献度指数 xiu'gai'gong'xian'du'zhi'shu
修改指数 xiu'gai'zhi'shu
绣阁千金 xiu'ge'qian'jin
修理指数 xiu'li'zhi'shu
修炼 xiu'lian
修炼符 xiu'lian'fu
修炼果 xiu'lian'guo
修炼任务 xiu'lian'ren'wu
修炼指导人 xiu'lian'zhi'dao'ren
修罗刀 xiu'luo'dao
修罗森林 xiu'luo'sen'lin
修罗炎咒法 xiu'luo'yan'zhou'fa
修罗隐身 xiu'luo'yin'shen
修罗咒 xiu'luo'zhou
休眠火山 xiu'mian'huo'shan
秀女 xiu'nv
修为符 xiu'wei'fu
休息 xiu'xi
修仙术 xiu'xian'shu
休闲玩法 xiu'xian'wan'fa
修行道人 xiu'xing'dao'ren
休养之地 xiu'yang'zhi'di
修正游戏画面速度异常 xiu'zheng'you'xi'hua'mian'su'du'yi'chang
许大娘 xu'da'niang
许姑娘 xu'gu'niang
须鲸海岸 xu'jing'hai'an
虚空禁锢 xu'kong'jin'gu
虚空之刃 xu'kong'zhi'ren
须弥山 xu'mi'shan
虚日鼠 xu'ri'shu
需损耗繁荣度 xu'sun'hao'fan'rong'du
需损耗人气度 xu'sun'hao'ren'qi'du
需损耗资金 xu'sun'hao'zi'jin
需要建筑进度 xu'yao'jian'zhu'jin'du
玄冰刺 xuan'bing'ci
玄冰面具 xuan'bing'mian'ju
玄彩娥 xuan'cai'e
旋风符 xuan'feng'fu
旋风斩 xuan'feng'zhan
旋复花 xuan'fu'hua
玄龟板 xuan'gui'ban
炫火乱舞 xuan'huo'luan'wu
玄精石 xuan'jing'shi
旋龙霸 xuan'long'ba
选美大会 xuan'mei'da'hui
选美大会司仪 xuan'mei'da'hui'si'yi
玄木刀 xuan'mu'dao
玄天铁鞭 xuan'tian'tie'bian
玄铁矛 xuan'tie'mao
玄武护法 xuan'wu'hu'fa
玄武门 xuan'wu'men
旋舞杀 xuan'wu'sha
玄武石 xuan'wu'shi
玄武堂 xuan'wu'tang
玄武堂帮众 xuan'wu'tang'bang'zhong
玄武堂管家 xuan'wu'tang'guan'jia
玄武堂任务 xuan'wu'tang'ren'wu
玄武堂堂主 xuan'wu'tang'tang'zhu
玄武堂香主 xuan'wu'tang'xiang'zhu
玄武堂主 xuan'wu'tang'zhu
玄武堂总管 xuan'wu'tang'zong'guan
玄武仙人 xuan'wu'xian'ren
玄学 xuan'xue
玄奘 xuan'zang
玄奘的家信 xuan'zang'de'jia'xin
玄奘的身世 xuan'zang'de'shen'shi
玄奘的血书 xuan'zang'de'xue'shu
宣战 xuan'zhan
玄珠 xuan'zhu
玄珠历练 xuan'zhu'li'lian
雪蚕之刺 xue'can'zhi'ci
学费指数 xue'fei'zhi'shu
雪凤凰 xue'feng'huang
血符 xue'fu
血鬼 xue'gui
薛举 xue'ju
雪莲花 xue'lian'hua
血耐 xue'nai
血刃 xue'ren
雪人 xue'ren
薛仁贵 xue'ren'gui
血色茶花 xue'se'cha'hua
血珊瑚 xue'shan'hu
血兽店 xue'shou'dian
血兽野兽店 xue'shou'ye'shou'dian
学习储备金 xue'xi'chu'bei'jin
学习点 xue'xi'dian
学习技能 xue'xi'ji'neng
学习石 xue'xi'shi
血饮刀 xue'yin'dao
血雨 xue'yu
雪羽穿云 xue'yu'chuan'yun
血之刺藤 xue'zhi'ci'teng
血之魅 xue'zhi'mei
靴子 xue'zi
巡海夜叉 xun'hai'ye'cha
训练度 xun'lian'du
训练力 xun'lian'li
训练专用 xun'lian'zhuan'yong
训练专用护肩 xun'lian'zhuan'yong'hu'jian
训练专用手套 xun'lian'zhuan'yong'shou'tao
训练专用鞋 xun'lian'zhuan'yong'xie
巡逻 xun'luo
巡山喽啰 xun'shan'lou'luo
巡山小妖 xun'shan'xiao'yao
训兽诀 xun'shou'jue
训兽师 xun'shou'shi
驯兽师 xun'shou'shi
驯兽艺人 xun'shou'yi'ren
寻物 xun'wu
循循善诱 xun'xun'shan'you
驯养召唤兽 xun'yang'zhao'huan'shou
巡游 xun'you
巡游卡 xun'you'ka
巡游天兵 xun'you'tian'bing
巡游天神 xun'you'tian'shen
巡游天神宝宝 xun'you'tian'shen'bao'bao
巡游天神卡片 xun'you'tian'shen'ka'pian
巡游天神喽罗 xun'you'tian'shen'lou'luo
寻找四琉璃 xun'zhao'si'liu'li
寻找线索 xun'zhao'xian'suo
押镖 ya'biao
押镖任务 ya'biao'ren'wu
牙齿 ya'chi
丫鬟 ya'huan
鸦九 ya'jiu
亚麻加工厂 ya'ma'jia'gong'chang
亚麻种子 ya'ma'zhong'zi
衙门 ya'men
衙门守卫 ya'men'shou'wei
衙役 ya'yi
押运粮草 ya'yun'liang'cao
鸭子卡 ya'zi'ka
雁翅刀 yan'chi'dao
炎帝 yan'di
炎护 yan'hu
烟花 yan'hua
炎黄后裔 yan'huang'hou'yi
宴会 yan'hui
眼镜 yan'jing
研究力 yan'jiu'li
颜灵果 yan'ling'guo
雁翎楼 yan'ling'lou
阎罗令 yan'luo'ling
阎罗王 yan'luo'wang
炎魔神 yan'mo'shen
炎魔神宝宝 yan'mo'shen'bao'bao
炎魔神卡 yan'mo'shen'ka
炎魔神卡片 yan'mo'shen'ka'pian
炎魔神喽罗 yan'mo'shen'lou'luo
延年益寿 yan'nian'yi'shou
偃旗息鼓 yan'qi'xi'gu
颜如羽 yan'ru'yu
岩石林立 yan'shi'lin'li
炎天妖姬 yan'tian'yao'ji
阎王的琵琶 yan'wang'de'pi'pa
阎王书房 yan'wang'shu'fang
偃无师 yan'wu'shi
岩牙咬 yan'ya'yao
晏婴 yan'ying
烟雨剑法 yan'yu'jian'fa
偃月青龙 yan'yue'qing'long
颜真卿 yan'zhen'qing
胭脂 yan'zhi
阳光灿烂苑 yang'guang'can'lan'yuan
杨贵妃 yang'gui'fei
养花 yang'hua
杨戬 yang'jian
羊角盔 yang'jiao'kui
羊力 yang'li
杨柳甘露 yang'liu'gan'lu
羊毛加工厂 yang'mao'jia'gong'chang
养生之道 yang'sheng'zhi'dao
羊头怪 yang'tou'guai
羊头怪宝宝 yang'tou'guai'bao'bao
羊头怪卡片 yang'tou'guai'ka'pian
羊头怪喽罗 yang'tou'guai'lou'luo
羊头卡 yang'tou'ka
杨玉环 yang'yu'huan
养育系统 yang'yu'xi'tong
药材店 yao'cai'dian
药材商人 yao'cai'shang'ren
瑶池蟠桃 yao'chi'pan'tao
瑶池天将 yao'chi'tian'jiang
腰带 yao'dai
腰带店 yao'dai'dian
药店 yao'dian
药店伙计 yao'dian'huo'ji
药店老板 yao'dian'lao'ban
药房 yao'fang
药房数 yao'fang'shu
妖怪的念珠 yao'guai'de'nian'zhu
妖怪亲信 yao'guai'qin'xin
摇光点将 yao'guang'dian'jiang
妖护法 yao'hu'fa
妖护卫 yao'hu'wei
妖将军 yao'jiang'jun
妖灵 yao'ling
妖魔巢穴 yao'mo'chao'xue
妖魔鬼怪大王 yao'mo'gui'guai'da'wang
妖魔鬼怪头目 yao'mo'gui'guai'tou'mu
妖魔鬼怪先锋 yao'mo'gui'guai'xian'feng
药品 yao'pin
药品柜 yao'pin'gui
药品增加量 yao'pin'zeng'jia'liang
妖气缠绕 yao'qi'chan'rao
妖气冲天 yao'qi'chong'tian
摇钱树 yao'qian'shu
邀请 yao'qing
钥匙 yao'shi
妖兽精兵 yao'shou'jing'bing
姚太尉 yao'tai'wei
夭桃秾李 yao'tao'nong'li
邀帖 yao'tie
摇头摆尾 yao'tou'bai'wei
妖王护法 yao'wang'hu'fa
妖物 yao'wu
妖巫师 yao'wu'shi
杳无音讯 yao'wu'yin'xun
妖系抵抗 yao'xi'di'kang
妖系弱点 yao'xi'ruo'dian
药香吸收 yao'xiang'xi'shou
耀阳闪 yao'yang'shan
摇影斩 yao'ying'zhan
业报有常 ye'bao'you'chang
夜叉 ye'cha
夜叉探海 ye'cha'tan'hai
夜光杯 ye'guang'bei
夜光珠 ye'guang'zhu
野鬼 ye'gui
野鬼宝宝 ye'gui'bao'bao
野鬼卡 ye'gui'ka
野鬼卡片 ye'gui'ka'pian
